#{"t_start": 1513017049.5645227, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.2"}
r,l,t
-20.0,935,8.264538
-19.0,975,12.978962
-21.0,1003,17.850587
-17.0,1304,24.133458
-21.0,835,28.159413
-21.0,884,32.507082
-21.0,898,36.898709
-20.0,837,40.929901
-21.0,757,44.575898
-21.0,914,48.974915
-20.0,881,53.213739
-19.0,1039,58.209194
-21.0,822,62.169093
-21.0,821,66.124746
-20.0,919,70.544717
-20.0,864,74.72706
-19.0,937,79.260472
-19.0,1039,84.272346
-21.0,844,88.319328
-20.0,1017,93.209798
-20.0,957,97.824712
-19.0,947,102.416672
-21.0,819,106.379548
-20.0,868,110.564137
-21.0,819,114.489953
-20.0,917,118.903013
-20.0,926,123.357146
-20.0,840,127.42123
-21.0,839,131.43881
-21.0,1003,136.287839
-21.0,880,140.531189
-20.0,955,145.16615
-19.0,929,149.637062
-20.0,901,153.982824
-21.0,880,158.256913
-20.0,960,165.245253
-21.0,868,171.975857
-21.0,762,177.924483
-19.0,1003,185.715271
-20.0,941,193.063948
-21.0,805,199.30233
